gene_index,gene_id,chromosome,start_site,feature,strand
18862,RNU1-64P,NC_000006.12,11503509,gene,-
18863,THAP12P5,NC_000006.12,11514192,gene,+
18863,PRKRIRP5,NC_000006.12,11514192,gene,+
18864,TMEM170B,NC_000006.12,11537749,gene,+
18865,LOC340184,NC_000006.12,11690257,gene,+
18866,LOC124900221,NC_000006.12,11709819,gene,+
18867,ADTRP,NC_000006.12,11713523,gene,-
18867,AIG1L,NC_000006.12,11713523,gene,-
18868,LOC124901258,NC_000006.12,11727165,gene,+
18869,LOC107986567,NC_000006.12,11806640,gene,-
18870,LOC124901257,NC_000006.12,11810084,gene,+
18871,LOC102724379,NC_000006.12,11858472,gene,-
18872,AMD1P4,NC_000006.12,11861426,gene,-
18873,LOC107986570,NC_000006.12,11934030,gene,+
18874,LOC101928253,NC_000006.12,11990343,gene,-
18875,HIVEP1,NC_000006.12,12007693,gene,+
18875,CIRIP,NC_000006.12,12007693,gene,+
18876,EDN1,NC_000006.12,12230516,gene,+
18876,ARCND3,NC_000006.12,12230516,gene,+
18877,LOC124901260,NC_000006.12,12241447,gene,-
18878,SUMO2P12,NC_000006.12,12319453,gene,+
18879,LOC105374931,NC_000006.12,12395474,gene,+
18880,RN7SKP293,NC_000006.12,12406486,gene,-
18881,RPL15P3,NC_000006.12,12514070,gene,+
18881,bA511S14.1,NC_000006.12,12514070,gene,+
18882,LINC02530,NC_000006.12,12582768,gene,-
18883,LOC107984015,NC_000006.12,12695217,gene,-
18884,PHACTR1,NC_000006.12,12716767,gene,+
18884,DEE70,NC_000006.12,12716767,gene,+
18885,LOC124901503,NC_000006.12,12736800,gene,+
18886,LOC105374935,NC_000006.12,12744905,gene,-
18887,LOC105374934,NC_000006.12,12828595,gene,-
18888,LOC124901262,NC_000006.12,12958810,gene,-
18889,RNU1-11P,NC_000006.12,13214040,gene,+
18889,RNU1P1,NC_000006.12,13214040,gene,+
18890,LOC105374933,NC_000006.12,13222961,gene,-
18891,TBC1D7-LOC100130357,NC_000006.12,13266536,gene,-
18892,LOC100130357,NC_000006.12,13273094,gene,-
18893,TBC1D7,NC_000006.12,13304951,gene,-
18893,MGCPH,NC_000006.12,13304951,gene,-
18894,LOC124901261,NC_000006.12,13328615,gene,+
18895,LOC105374936,NC_000006.12,13351157,gene,+
18896,GFOD1,NC_000006.12,13357830,gene,-
18896,ADG-90,NC_000006.12,13357830,gene,-
18897,GFOD1-AS1,NC_000006.12,13486261,gene,+
18898,RPS4XP7,NC_000006.12,13521213,gene,+
18898,RPS4P7,NC_000006.12,13521213,gene,+
18899,RN7SKP204,NC_000006.12,13547704,gene,+
18900,LOC105374937,NC_000006.12,13572072,gene,-
18901,SIRT5,NC_000006.12,13574274,gene,+
18901,SIR2L5,NC_000006.12,13574274,gene,+
18902,LOC105374938,NC_000006.12,13599030,gene,-
18903,LOC124901263,NC_000006.12,13609266,gene,-
18904,NOL7,NC_000006.12,13615335,gene,+
18904,C6orf90,NC_000006.12,13615335,gene,+
18905,RANBP9,NC_000006.12,13621498,gene,-
18905,BPM-L,NC_000006.12,13621498,gene,-
18906,LOC124901523,NC_000006.12,13680080,gene,+
18907,LOC124901264,NC_000006.12,13712352,gene,-
18908,MCUR1,NC_000006.12,13786557,gene,-
18908,C6orf79,NC_000006.12,13786557,gene,-
18909,LOC107986571,NC_000006.12,13813810,gene,+
18910,RNF182,NC_000006.12,13924446,gene,+
18911,MRPL35P1,NC_000006.12,13949092,gene,+
18912,LOC105374939,NC_000006.12,14098634,gene,+
18913,LOC124901265,NC_000006.12,14108763,gene,+
18914,CD83,NC_000006.12,14117256,gene,+
18914,BL11,NC_000006.12,14117256,gene,+
18915,RNU7-133P,NC_000006.12,14156462,gene,+
18916,LOC105374940,NC_000006.12,14194449,gene,-
18917,LINC01108,NC_000006.12,14280127,gene,-
18917,LncRNA-ES1,NC_000006.12,14280127,gene,-
18918,LOC124901266,NC_000006.12,14285821,gene,+
18919,LOC105374943,NC_000006.12,14391091,gene,-
18920,LOC105374942,NC_000006.12,14420674,gene,-
18921,LOC101928331,NC_000006.12,14431780,gene,+
18922,LOC101928354,NC_000006.12,14586304,gene,-
18923,RNU6-793P,NC_000006.12,14646535,gene,+
18924,LOC102724463,NC_000006.12,14659151,gene,+
18925,LOC105374945,NC_000006.12,14860416,gene,-
18926,RPL6P17,NC_000006.12,15102946,gene,-
18926,RPL6_4_660,NC_000006.12,15102946,gene,-
18927,RN7SL332P,NC_000006.12,15112968,gene,+
18928,LOC105374946,NC_000006.12,15143785,gene,-
18929,JARID2-DT,NC_000006.12,15243923,gene,-
18930,JARID2,NC_000006.12,15246069,gene,+
18930,DIDDF,NC_000006.12,15246069,gene,+
18931,JARID2-AS1,NC_000006.12,15247815,gene,-
18932,RNU6-522P,NC_000006.12,15314920,gene,+
18933,RNU6-645P,NC_000006.12,15324367,gene,-
18934,DTNBP1,NC_000006.12,15522807,gene,-
18934,BLOC1S8,NC_000006.12,15522807,gene,-
18935,LOC105374947,NC_000006.12,15526334,gene,+
18936,LOC124901267,NC_000006.12,15546070,gene,+
18937,LOC102724520,NC_000006.12,15730040,gene,-
18938,LOC105374948,NC_000006.12,15830293,gene,-
18939,ARPC3P5,NC_000006.12,15934743,gene,+
18940,LOC105374949,NC_000006.12,15956495,gene,-
18941,LINC02543,NC_000006.12,15994944,gene,+
18942,MDH1P2,NC_000006.12,16107793,gene,+
18943,MYLIP,NC_000006.12,16129086,gene,+
18943,IDOL,NC_000006.12,16129086,gene,+
18944,MIR4639,NC_000006.12,16141556,gene,+
18945,LOC124901514,NC_000006.12,16148365,gene,-
18946,PERPP3,NC_000006.12,16160934,gene,+
18947,MRPL42P2,NC_000006.12,16171467,gene,+
18948,RNU6-1114P,NC_000006.12,16205014,gene,+
18949,GMPR,NC_000006.12,16238587,gene,+
18949,GMPR 1,NC_000006.12,16238587,gene,+
18950,ATXN1,NC_000006.12,16299112,gene,-
18950,ATX1,NC_000006.12,16299112,gene,-
18951,LOC127903862,NC_000006.12,16328342,gene,-
18952,ATXN1-AS1,NC_000006.12,16761138,gene,+
18953,LOC124901268,NC_000006.12,16767144,gene,+
18954,LOC107986573,NC_000006.12,16948515,gene,-
18955,LOC105374951,NC_000006.12,17015817,gene,+
18956,LOC124901269,NC_000006.12,17060287,gene,-
18957,LOC101928463,NC_000006.12,17092716,gene,-
18958,STMND1,NC_000006.12,17102050,gene,+
18959,RBM24,NC_000006.12,17281361,gene,+
18959,dJ259A10.1,NC_000006.12,17281361,gene,+
18960,ESDP1,NC_000006.12,17381487,gene,+
18961,CAP2,NC_000006.12,17393595,gene,+
18961,CMD2I,NC_000006.12,17393595,gene,+
18962,LOC101928491,NC_000006.12,17501360,gene,-
18963,RPL7P26,NC_000006.12,17530828,gene,-
18963,RPL7_9_661,NC_000006.12,17530828,gene,-
18964,SUMO2P13,NC_000006.12,17582034,gene,+
18965,LOC102724591,NC_000006.12,17585791,gene,-
18966,FAM8A1,NC_000006.12,17600302,gene,+
18966,AHCP,NC_000006.12,17600302,gene,+
18967,NUP153,NC_000006.12,17615037,gene,-
18967,HNUP153,NC_000006.12,17615037,gene,-
18968,RNU6-190P,NC_000006.12,17619533,gene,+
18969,NUP153-AS1,NC_000006.12,17706130,gene,+
18970,RNA5SP204,NC_000006.12,17721786,gene,-
18970,RN5S204,NC_000006.12,17721786,gene,-
18971,LOC124901554,NC_000006.12,17730839,gene,-
18972,KIF13A,NC_000006.12,17759126,gene,-
18972,bA500C11.2,NC_000006.12,17759126,gene,-
18973,LOC105374953,NC_000006.12,17850434,gene,+
18974,RPS12P12,NC_000006.12,17953569,gene,+
18974,RPS12_5_662,NC_000006.12,17953569,gene,+
18975,NHLRC1,NC_000006.12,18120440,gene,-
18975,bA204B7.2,NC_000006.12,18120440,gene,-
18976,TPMT,NC_000006.12,18128311,gene,-
18976,TPMTD,NC_000006.12,18128311,gene,-
18977,KDM1B,NC_000006.12,18155422,gene,+
18977,AOF1,NC_000006.12,18155422,gene,+
18978,DEK,NC_000006.12,18223860,gene,-
18978,D6S231E,NC_000006.12,18223860,gene,-
18979,LOC124901270,NC_000006.12,18264532,gene,+
18980,RNU6-263P,NC_000006.12,18306975,gene,-
18981,DDX18P3,NC_000006.12,18363096,gene,-
18982,IMPDH1P9,NC_000006.12,18366016,gene,-
18983,RNF144B,NC_000006.12,18387350,gene,+
18983,bA528A10.3,NC_000006.12,18387350,gene,+
18984,LOC124901544,NC_000006.12,18401951,gene,-
18985,LOC124901271,NC_000006.12,18421291,gene,+
18986,LOC105374955,NC_000006.12,18496860,gene,+
18987,MIR548A1HG,NC_000006.12,18522747,gene,+
18988,MIR548A1,NC_000006.12,18571784,gene,+
18988,MIRN548A1,NC_000006.12,18571784,gene,+
18989,LOC105374957,NC_000006.12,18746688,gene,-
18990,TRQ-CTG1-1,NC_000006.12,18836171,gene,+
18991,LOC105374958,NC_000006.12,18977113,gene,+
18992,LOC101928519,NC_000006.12,19068543,gene,-
18993,RPL21P61,NC_000006.12,19143653,gene,+
18993,RPL21_24_663,NC_000006.12,19143653,gene,+
18994,LOC105374961,NC_000006.12,19317052,gene,-
18995,LOC107986575,NC_000006.12,19323063,gene,-
18996,RPL5P20,NC_000006.12,19348114,gene,+
18996,RPL5_9_664,NC_000006.12,19348114,gene,+
18997,RNA5SP205,NC_000006.12,19438283,gene,+
18997,RN5S205,NC_000006.12,19438283,gene,+
18998,LOC105374960,NC_000006.12,19449821,gene,+
18999,KRT18P38,NC_000006.12,19612688,gene,+
19000,UQCRFS1P3,NC_000006.12,19637843,gene,-
19001,RNU6-801P,NC_000006.12,19642425,gene,-
19002,LNC-LBCS,NC_000006.12,19729421,gene,-
19002,LBCS,NC_000006.12,19729421,gene,-
19003,LOC105374963,NC_000006.12,19807922,gene,+
19004,ID4,NC_000006.12,19837370,gene,+
19004,bHLHb27,NC_000006.12,19837370,gene,+
19005,RPL29P17,NC_000006.12,20042336,gene,-
19005,RPL29_8_665,NC_000006.12,20042336,gene,-
19006,LOC105374965,NC_000006.12,20066851,gene,-
19007,MBOAT1,NC_000006.12,20099684,gene,-
19007,dJ434O11.1,NC_000006.12,20099684,gene,-
19008,LOC101928573,NC_000006.12,20265627,gene,+
19009,LOC124901272,NC_000006.12,20331235,gene,-
19010,LOC124901482,NC_000006.12,20400741,gene,-
19011,E2F3,NC_000006.12,20401879,gene,+
19011,E2F-3,NC_000006.12,20401879,gene,+
19012,RN7SL128P,NC_000006.12,20421657,gene,-
19013,E2F3-IT1,NC_000006.12,20437821,gene,+
19013,RBAT1,NC_000006.12,20437821,gene,+
19014,RNU6-141P,NC_000006.12,20452369,gene,-
19015,CDKAL1,NC_000006.12,20534457,gene,+
19016,LOC124901273,NC_000006.12,20573804,gene,+
19017,LOC105374968,NC_000006.12,20597690,gene,+
19018,RPL36AP25,NC_000006.12,20722281,gene,-
19018,RPL36A_7_666,NC_000006.12,20722281,gene,-
19019,RNU6-150P,NC_000006.12,20993474,gene,-
19020,LOC105374966,NC_000006.12,21135979,gene,-
19021,LOC107986578,NC_000006.12,21227804,gene,-
19022,LINC00581,NC_000006.12,21486061,gene,-
19022,linc-MBOAT1-4,NC_000006.12,21486061,gene,-
19023,LOC107986579,NC_000006.12,21537364,gene,-
19024,SOX4,NC_000006.12,21593751,gene,+
19024,CSS10,NC_000006.12,21593751,gene,+
19025,BOLA2P3,NC_000006.12,21602128,gene,+
19026,LOC124901483,NC_000006.12,21664541,gene,-
19027,CASC15,NC_000006.12,21666413,gene,+
19027,CANT,NC_000006.12,21666413,gene,+
19028,LOC124901274,NC_000006.12,21754700,gene,+
19029,LOC105374970,NC_000006.12,21825780,gene,-
19030,RN7SKP240,NC_000006.12,22085545,gene,+
19031,NBAT1,NC_000006.12,22134602,gene,-
19031,CASC14,NC_000006.12,22134602,gene,-
19032,LOC124901275,NC_000006.12,22200989,gene,+
19033,NGRNP4,NC_000006.12,22213306,gene,-
19034,PRL,NC_000006.12,22287246,gene,-
19034,GHA1,NC_000006.12,22287246,gene,-
19035,LOC105374971,NC_000006.12,22349218,gene,+
19036,HDGFL1,NC_000006.12,22569566,gene,+
19036,dJ309H15.1,NC_000006.12,22569566,gene,+
19037,LINC03005,NC_000006.12,22643510,gene,-
19038,LOC105374973,NC_000006.12,22644020,gene,+
19039,LOC102724736,NC_000006.12,22662394,gene,+
19040,LOC105374974,NC_000006.12,23056297,gene,-
19041,RPL6P18,NC_000006.12,23102659,gene,+
19041,RPL6_13_667,NC_000006.12,23102659,gene,+
19042,RNU6-1060P,NC_000006.12,23124982,gene,-
19043,LOC105374976,NC_000006.12,23336746,gene,-
19044,LOC102724749,NC_000006.12,23337691,gene,+
19045,LOC105374975,NC_000006.12,23416075,gene,+
19046,LOC124901276,NC_000006.12,23453000,gene,+
19047,LOC100129616,NC_000006.12,23854437,gene,+
19048,SPTLC1P2,NC_000006.12,23856564,gene,-
19049,ISG20L2P1,NC_000006.12,23971766,gene,+
19050,HNRNPA1P58,NC_000006.12,24001822,gene,+
19051,NRSN1,NC_000006.12,24126215,gene,+
19051,p24,NC_000006.12,24126215,gene,+
19052,LOC124900220,NC_000006.12,24166273,gene,+
19053,DCDC2,NC_000006.12,24171755,gene,-
19053,DCDC2A,NC_000006.12,24171755,gene,-
19054,KAAG1,NC_000006.12,24356903,gene,+
19054,RU2AS,NC_000006.12,24356903,gene,+
19055,RNU6-391P,NC_000006.12,24365651,gene,+
19056,MRS2,NC_000006.12,24402936,gene,+
19056,HPT,NC_000006.12,24402936,gene,+
19057,GPLD1,NC_000006.12,24423969,gene,-
19057,GPIPLD,NC_000006.12,24423969,gene,-
19058,ALDH5A1,NC_000006.12,24494969,gene,+
19058,SSADH,NC_000006.12,24494969,gene,+
19059,LOC124901277,NC_000006.12,24535415,gene,-
19060,KIAA0319,NC_000006.12,24540141,gene,-
19060,DYLX2,NC_000006.12,24540141,gene,-
19061,KRT8P43,NC_000006.12,24597952,gene,+
19062,TDP2,NC_000006.12,24649979,gene,-
19062,AD022,NC_000006.12,24649979,gene,-
19063,ACOT13,NC_000006.12,24667077,gene,+
19063,HT012,NC_000006.12,24667077,gene,+
19064,LOC124901279,NC_000006.12,24669117,gene,-
19065,LOC124901278,NC_000006.12,24689707,gene,-
19066,C6orf62,NC_000006.12,24704861,gene,-
19066,dJ30M3.2,NC_000006.12,24704861,gene,-
19067,LINC02828,NC_000006.12,24742305,gene,+
19068,AP3S1P1,NC_000006.12,24750477,gene,-
19069,GMNN,NC_000006.12,24774937,gene,+
19069,Gem,NC_000006.12,24774937,gene,+
19070,LOC124901280,NC_000006.12,24792799,gene,-
19071,ARMH2,NC_000006.12,24797335,gene,-
19071,C6orf229,NC_000006.12,24797335,gene,-
19072,RIPOR2,NC_000006.12,24804284,gene,-
19072,C6orf32,NC_000006.12,24804284,gene,-
19073,LOC105374981,NC_000006.12,24933975,gene,+
19074,MTCO2P33,NC_000006.12,24947880,gene,+
19075,PPIAP29,NC_000006.12,24976377,gene,+
19076,LOC102724765,NC_000006.12,25014952,gene,-
19077,ASS1P1,NC_000006.12,25023009,gene,-
19077,ASSP1,NC_000006.12,25023009,gene,-
19078,RN7SL334P,NC_000006.12,25031009,gene,-
19079,CMAHP,NC_000006.12,25081067,gene,-
19079,CMAH,NC_000006.12,25081067,gene,-
19080,LOC124901282,NC_000006.12,25121689,gene,+
19081,NUP50P2,NC_000006.12,25139664,gene,+
19082,CANT1P1,NC_000006.12,25152525,gene,+
19083,UBE2D3P5,NC_000006.12,25181025,gene,+
19084,RNY5P5,NC_000006.12,25192413,gene,+
19085,LOC100533655,NC_000006.12,25218709,gene,+
19086,LOC124901283,NC_000006.12,25230235,gene,-
19087,LOC101928663,NC_000006.12,25244916,gene,-
19088,KATNBL1P5,NC_000006.12,25248189,gene,+
19089,RPL21P68,NC_000006.12,25261199,gene,+
19089,RPL21_25_668,NC_000006.12,25261199,gene,+
19090,HNRNPA3P17,NC_000006.12,25272200,gene,-
19091,CARMIL1,NC_000006.12,25279374,gene,+
19091,CARMIL,NC_000006.12,25279374,gene,+
19092,LOC124901281,NC_000006.12,25327706,gene,-
19093,RNU6-987P,NC_000006.12,25383599,gene,+
19094,LOC124901546,NC_000006.12,25435280,gene,+
19095,SCGN,NC_000006.12,25652215,gene,+
19095,CALBL,NC_000006.12,25652215,gene,+
19096,PRELID1P2,NC_000006.12,25678779,gene,-
19097,LOC124901284,NC_000006.12,25681873,gene,-
19098,SLC17A1,NC_000006.12,25723743,gene,-
19098,NAPI-1,NC_000006.12,25723743,gene,-
19099,H2AC1,NC_000006.12,25726063,gene,-
19099,bA317E16.2,NC_000006.12,25726063,gene,-
19100,H2BC1,NC_000006.12,25726777,gene,+
19100,bA317E16.3,NC_000006.12,25726777,gene,+
19101,H2BC2P,NC_000006.12,25731728,gene,-
19101,bA317E16.4,NC_000006.12,25731728,gene,-
19102,H2AC2P,NC_000006.12,25732381,gene,+
19102,bA317E16.5,NC_000006.12,25732381,gene,+
19103,SLC17A4,NC_000006.12,25754699,gene,+
19103,KAIA2138,NC_000006.12,25754699,gene,+
19104,LOC124901285,NC_000006.12,25836154,gene,+
19105,SLC17A3,NC_000006.12,25844856,gene,-
19105,GOUT4,NC_000006.12,25844856,gene,-
19106,H2AC3P,NC_000006.12,25881926,gene,-
19106,dJ139G21.2,NC_000006.12,25881926,gene,-
19107,H2BP5,NC_000006.12,25885419,gene,+
19108,SLC17A2,NC_000006.12,25912754,gene,-
19108,NPT3,NC_000006.12,25912754,gene,-
19109,TRIM38,NC_000006.12,25962802,gene,+
19109,RNF15,NC_000006.12,25962802,gene,+
19110,LINC02980,NC_000006.12,25992667,gene,+
19111,H3P26,NC_000006.12,26016107,gene,+
19111,H3FEP,NC_000006.12,26016107,gene,+
19112,H1-1,NC_000006.12,26017032,gene,-
19112,H1.1,NC_000006.12,26017032,gene,-
19113,H3C1,NC_000006.12,26020451,gene,+
19113,H3/A,NC_000006.12,26020451,gene,+
19114,H4C1,NC_000006.12,26021649,gene,+
19114,H4-16,NC_000006.12,26021649,gene,+
19115,H4C2,NC_000006.12,26026896,gene,-
19115,H4-16,NC_000006.12,26026896,gene,-
19116,H3C2,NC_000006.12,26031589,gene,-
19116,H3/l,NC_000006.12,26031589,gene,-
19117,H2AC4,NC_000006.12,26033092,gene,-
19117,H2A/m,NC_000006.12,26033092,gene,-
19118,H2BC3,NC_000006.12,26043227,gene,-
19118,H2B.1,NC_000006.12,26043227,gene,-
19119,H2AC5P,NC_000006.12,26043900,gene,+
19119,H2AFFP,NC_000006.12,26043900,gene,+
19120,H3C3,NC_000006.12,26045384,gene,+
19120,H3.1,NC_000006.12,26045384,gene,+
19121,H1-2,NC_000006.12,26055740,gene,-
19121,H1.2,NC_000006.12,26055740,gene,-
19122,HFE-AS1,NC_000006.12,26086290,gene,-
19123,HFE,NC_000006.12,26087429,gene,+
19123,HFE1,NC_000006.12,26087429,gene,+
19124,H4C3,NC_000006.12,26103933,gene,+
19124,dJ221C16.1,NC_000006.12,26103933,gene,+
19125,H1-6,NC_000006.12,26107412,gene,-
19125,dJ221C16.2,NC_000006.12,26107412,gene,-
19126,H2BC4,NC_000006.12,26113170,gene,-
19126,dJ221C16.3,NC_000006.12,26113170,gene,-
19127,H2AC6,NC_000006.12,26124172,gene,+
19127,dJ221C16.4,NC_000006.12,26124172,gene,+
19128,H1-4,NC_000006.12,26156329,gene,+
19128,dJ221C16.5,NC_000006.12,26156329,gene,+
19129,H2BC5,NC_000006.12,26158121,gene,+
19129,dJ221C16.6,NC_000006.12,26158121,gene,+
19130,H2BC6-AS1,NC_000006.12,26160274,gene,-
19131,LARP1P1,NC_000006.12,26164033,gene,+
19131,dJ221C16.7,NC_000006.12,26164033,gene,+
19132,H2BC6,NC_000006.12,26183761,gene,+
19132,dJ221C16.8,NC_000006.12,26183761,gene,+
19133,H4C4,NC_000006.12,26188710,gene,-
19133,dJ221C16.9,NC_000006.12,26188710,gene,-
19134,H1-12P,NC_000006.12,26195566,gene,+
19134,dJ34B20.16,NC_000006.12,26195566,gene,+
19135,H3C4,NC_000006.12,26196784,gene,-
19135,H3/b,NC_000006.12,26196784,gene,-
19136,H2AC7,NC_000006.12,26198784,gene,-
19136,H2A.3,NC_000006.12,26198784,gene,-
19137,H2BC7,NC_000006.12,26199516,gene,+
19137,H2B/g,NC_000006.12,26199516,gene,+
19138,RPS10P1,NC_000006.12,26202123,gene,+
19138,dJ34B20.13,NC_000006.12,26202123,gene,+
19139,H4C5,NC_000006.12,26204610,gene,+
19139,H4-16,NC_000006.12,26204610,gene,+
19140,H2BC8,NC_000006.12,26216200,gene,-
19140,dJ221C16.8,NC_000006.12,26216200,gene,-
19141,H2AC8,NC_000006.12,26216921,gene,+
19141,H2A.1,NC_000006.12,26216921,gene,+
19142,H3C5P,NC_000006.12,26219045,gene,+
19143,H3C6,NC_000006.12,26224178,gene,+
19143,H3.1,NC_000006.12,26224178,gene,+
19144,H2AC9P,NC_000006.12,26233122,gene,+
19144,dJ34B20.8,NC_000006.12,26233122,gene,+
19145,H1-3,NC_000006.12,26234212,gene,-
19145,H1.3,NC_000006.12,26234212,gene,-
19146,H4C6,NC_000006.12,26240393,gene,+
19146,H4,NC_000006.12,26240393,gene,+
19147,H4C7,NC_000006.12,26246611,gene,-
19147,H4/l,NC_000006.12,26246611,gene,-
19148,H3C7,NC_000006.12,26250142,gene,-
19148,H3/i,NC_000006.12,26250142,gene,-
19149,H2BC9,NC_000006.12,26251614,gene,+
19149,H2B/j,NC_000006.12,26251614,gene,+
19150,LOC105374986,NC_000006.12,26257500,gene,+
19151,H3C8,NC_000006.12,26270918,gene,-
19151,H3/h,NC_000006.12,26270918,gene,-
19152,H2AC10P,NC_000006.12,26272193,gene,-
19152,dJ34B20.2,NC_000006.12,26272193,gene,-
19153,H2BC10,NC_000006.12,26272931,gene,+
19153,H2B/k,NC_000006.12,26272931,gene,+
19154,H4C8,NC_000006.12,26285126,gene,-
19154,H4-16,NC_000006.12,26285126,gene,-
19155,LOC124901287,NC_000006.12,26285680,gene,+
19156,TRX-CAT1-2,NC_000006.12,26286526,gene,+
19157,TRR-TCG4-1,NC_000006.12,26299677,gene,+
19158,TRS-GCT6-1,NC_000006.12,26305490,gene,-
19159,TRQ-TTG3-1,NC_000006.12,26311196,gene,-
19160,TRQ-TTG3-2,NC_000006.12,26311747,gene,-
19161,TRS-TGA3-1,NC_000006.12,26312596,gene,-
19162,TRX-CAT1-3,NC_000006.12,26313124,gene,-
19163,TRW-CCA3-1,NC_000006.12,26319102,gene,-
19164,H3C9P,NC_000006.12,26321876,gene,-
19164,dJ45P21.6,NC_000006.12,26321876,gene,-
19165,TRR-TCG2-1,NC_000006.12,26322818,gene,+
19166,LOC101928743,NC_000006.12,26324873,gene,-
19167,TRS-AGA2-1,NC_000006.12,26327589,gene,+
19168,TRR-ACG1-1,NC_000006.12,26328140,gene,+
19169,TRX-CAT1-4,NC_000006.12,26330301,gene,-
19170,TRW-CCA3-2,NC_000006.12,26331444,gene,-
19171,LOC124901288,NC_000006.12,26331818,gene,+
19172,LOC124901520,NC_000006.12,26352947,gene,-
19173,BTN3A2,NC_000006.12,26365169,gene,+
19173,BT3.2,NC_000006.12,26365169,gene,+
19174,BTN2A2,NC_000006.12,26383108,gene,+
19174,BT2.2,NC_000006.12,26383108,gene,+
19175,BTN3A1,NC_000006.12,26402275,gene,+
19175,BT3.1,NC_000006.12,26402275,gene,+
19176,BTN2A3P,NC_000006.12,26421391,gene,+
19176,BTN2.3,NC_000006.12,26421391,gene,+
19177,BTN3A3,NC_000006.12,26440504,gene,+
19177,BTF3,NC_000006.12,26440504,gene,+
19178,BTN2A1,NC_000006.12,26457955,gene,+
19178,BK14H9.1,NC_000006.12,26457955,gene,+
19179,LOC285819,NC_000006.12,26471944,gene,-
19180,BTN1A1P1,NC_000006.12,26477865,gene,+
19181,LOC107986583,NC_000006.12,26486649,gene,-
19182,BTN1A1,NC_000006.12,26500303,gene,+
19182,BT,NC_000006.12,26500303,gene,+
19183,RNU6-502P,NC_000006.12,26519351,gene,-
19184,TRL-CAG1-7,NC_000006.12,26521208,gene,+
19185,HCG11,NC_000006.12,26521706,gene,+
19185,bK14H9.3,NC_000006.12,26521706,gene,+
19186,TRT-AGT2-1,NC_000006.12,26532917,gene,-
19187,TRR-ACG1-2,NC_000006.12,26537498,gene,+
19188,TRV-CAC1-6,NC_000006.12,26538054,gene,+
19189,HMGN4,NC_000006.12,26538366,gene,+
19189,HMG17L3,NC_000006.12,26538366,gene,+
19190,TRA-CGC1-1,NC_000006.12,26553503,gene,+
19191,TRI-AAT5-1,NC_000006.12,26554122,gene,+
19192,TRP-AGG2-2,NC_000006.12,26555270,gene,+
19193,TRK-CTT2-4,NC_000006.12,26556546,gene,+
19194,TRY-GTA1-1,NC_000006.12,26568858,gene,+
19195,LOC105374988,NC_000006.12,26569324,gene,+
19196,TRA-AGC11-1,NC_000006.12,26571864,gene,-
19197,TRY-GTA8-1,NC_000006.12,26575570,gene,+
19198,TRY-GTA3-1,NC_000006.12,26577104,gene,+
19199,TRY-GTA6-1,NC_000006.12,26594874,gene,+
19200,ABT1,NC_000006.12,26596953,gene,+
19200,Esf2,NC_000006.12,26596953,gene,+
19201,LOC105374989,NC_000006.12,26602733,gene,+
19202,VN1R14P,NC_000006.12,26631085,gene,-
19202,bA457M11.4,NC_000006.12,26631085,gene,-
19203,ZNF322,NC_000006.12,26634383,gene,-
19203,HCG12,NC_000006.12,26634383,gene,-
19204,LOC102724851,NC_000006.12,26671120,gene,+
19205,TRA-AGC14-1,NC_000006.12,26673362,gene,+
19206,TRA-AGC12-1,NC_000006.12,26682487,gene,+
19207,TRA-AGC10-1,NC_000006.12,26687257,gene,+
19208,LOC105374991,NC_000006.12,26698084,gene,-
19209,TRM-CAT5-1,NC_000006.12,26701483,gene,+
19210,TRNAA-AGC,NC_000006.12,26705377,gene,+
19211,TRI-AAT7-1,NC_000006.12,26720992,gene,-
19212,TRA-AGC9-1,NC_000006.12,26730534,gene,+
19213,TRM-CAT4-1,NC_000006.12,26735370,gene,-
19214,TRM-CAT4-2,NC_000006.12,26743263,gene,+
19215,TRUND-NNN1-1,NC_000006.12,26749199,gene,-
19215,tRNA-Und-NNN-1-1,NC_000006.12,26749199,gene,-
19216,TRI-AAT6-1,NC_000006.12,26756552,gene,+
19217,TRM-CAT4-3,NC_000006.12,26766234,gene,+
19218,TRNAA-AGC_1,NC_000006.12,26771080,gene,-
19219,TRI-AAT7-2,NC_000006.12,26780622,gene,+
19220,LOC105374992,NC_000006.12,26781146,gene,+
19221,LOC124901289,NC_000006.12,26787593,gene,-
19222,TRNAA-AGC_2,NC_000006.12,26796209,gene,-
19223,TRM-CAT5-2,NC_000006.12,26800113,gene,-
19224,TRNAA-AGC_3,NC_000006.12,26814339,gene,-
19225,LOC124901290,NC_000006.12,26815127,gene,-
19226,TRNAA-AGC_4,NC_000006.12,26819109,gene,-
19227,TRA-AGC14-2,NC_000006.12,26828227,gene,-
19228,POM121L6P,NC_000006.12,26870667,gene,+
19228,bA239L20.2,NC_000006.12,26870667,gene,+
19229,GUSBP2,NC_000006.12,26871487,gene,-
19229,b55C20.1,NC_000006.12,26871487,gene,-
19230,LINC00240,NC_000006.12,26956993,gene,+
19230,bA373D17.1,NC_000006.12,26956993,gene,+
19231,LARRPM,NC_000006.12,27019366,gene,-
19232,TRI-TAT2-2,NC_000006.12,27020346,gene,+
19233,VN1R12P,NC_000006.12,27033346,gene,-
19233,bA373D17.2,NC_000006.12,27033346,gene,-
19234,VN1R13P,NC_000006.12,27060370,gene,-
19234,bA373D17.3,NC_000006.12,27060370,gene,-
